colour	y	x	hjust	label	clickSelects	showSelected1	showSelected2	PANEL	group
#FF0000	0.613120601700546	9	0	constant	constant	linear model poly. deg.	test	1	1
#FF0000	0.927525321587178	9	0	cubic	cubic	linear model poly. deg.	test	1	3
#FF0000	-0.174820644780171	9	0	quadratic	quadratic	linear model poly. deg.	test	1	7
#FF0000	-0.7637321998256	9	0	linear	linear	linear model poly. deg.	test	1	5
#FF0000	-0.899022184143929	1	1	constant	constant	num. nearest neighbors	test	2	2
#FF0000	-2.15729972116836	1	1	cubic	cubic	num. nearest neighbors	test	2	4
#FF0000	-1.69146465047131	1	1	quadratic	quadratic	num. nearest neighbors	test	2	8
#FF0000	-2.23511048090508	1	1	linear	linear	num. nearest neighbors	test	2	6
